mw:paro,116700:in compound for paras
mw:parAk,116807:in compound for parAYc
mw:parAg,116812:in compound for parAYc
mw:parAN,116815:in compound for parAYc
mw:parI,119207:in compound for pari
mw:paruzI,119411:in compound for paruza
mw:parva,119924:in compound for parvan
mw:pavitrI,120488:in compound for pavitra
mw:paSv,120679:in compound for paSu
mw:paScAc,120706:in compound for paScAt
mw:paScAd,120726:in compound for paScAt
mw:paScAn,120742:in compound for paScAt
mw:paScAl,120746:in compound for paScAt
mw:pAtrI,120856:in compound for pAtra
mw:pARI,121513:in compound for pARi
mw:pARy,121517:in compound for pARi
mw:pARqv,121709:in compound for pARqu
mw:pATo,121851:in compound for pATas
mw:pAma,122331:in compound for pAman
mw:pAra,122499:in compound for para
mw:pAry,122817:in compound for pAri
mw:piRqI,123953:in compound for piRqa
mw:pitr,124175:in compound for pitf
mw:pinAki,124291:in compound for pinAkin
mw:puM,125035:in compound for puMs
mw:puMS,125095:in compound for puMs
mw:puMsa,125104:in compound for puMs
mw:pum,125111:in compound for puMs
mw:puYjI,125186:in compound for puYja
mw:putrI,125631:in compound for putra
mw:punaH,125805:in compound for punar
mw:punaS,125842:in compound for punar
mw:punas,125847:in compound for punar
mw:punA,125850:in compound for punar
mw:pura,125868:in compound for puras
mw:puraH,125875:in compound for puras
mw:puraS,125892:in compound for puras
mw:purastAj,125924:in compound for purastAt
mw:purastAd,125939:in compound for purastAt
mw:purastAn,125955:in compound for purastAt
mw:purastAl,125957:in compound for purastAt
mw:puro,126037:in compound for puras
mw:pUr,126231:in compound for pur
mw:purU,126425:in compound for puru
mw:puloma,126739:in compound for puloman
mw:pUza,128281:in compound for pUzan
mw:pUzaR,128291:in compound for pUzan
mw:pfTag,128412:in compound for pfTak
mw:pfTaN,128453:in compound for pfTak
mw:pfTivy,128519:in compound for pfTivI
mw:pfza,128756:in compound for pfzat
mw:pfzad,128784:in compound for pfzat
mw:potri,129316:in compound for potrin
mw:praguRI,130443:in compound for praguRa
mw:pracurI,130749:in compound for pracura
mw:praty,131935:in compound for prati
mw:pratI,133559:in compound for prati
mw:pratyakzI,133865:in compound for pratyakza
mw:pratyak,133929:in compound for pratyaYc
mw:pratyag,133952:in compound for pratyaYc
mw:pratyaN,133977:in compound for pratyaYc
mw:prabalI,135311:in compound for prabala
mw:pramARI,135876:in compound for pramARa
mw:pravad,136735:in compound for pravat
mw:praSiTilI,137571:in compound for praSiTila
mw:prahvI,138752:in compound for prahva
mw:prAk,139216:in compound for prAYc
mw:prAg,139270:in compound for prAYc
mw:prAN,139379:in compound for prAYc
mw:prARi,139751:in compound for prARin
mw:prAtaS,139840:in compound for prAtar
mw:prAtas,139843:in compound for prAtar
mw:prAti,139852:in compound for prati
mw:prAty,139933:in compound for prAti
mw:prAduz,139958:in compound for prAdur
mw:prAyaS,140157:in compound for prAyas
mw:prAyo,140184:in compound for prAyas
mw:prAvfw,140300:in compound for prAvfz
mw:prAvfq,140303:in compound for prAvfz
mw:prAvfR,140305:in compound for prAvfz
mw:prema,140791:in compound for preman
mw:premA,140833:in compound for preman
mw:plIha,141453:in compound for plIhan
